name,country,logo_url,categories,statuses,is_global,partner_url
Rafeeq,Qatar,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/662b404aac3a1e453c7c30fc_t0bkxepynwu41jwpob8r.svg,Delivery platforms,Live,False,https://www.urbanpiper.com/integrations
Rancelab,India,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/656988d65a35f03f3dfa9162_rancelab-logo.webp,POS Systems,Live,False,https://www.urbanpiper.com/integrations
Rancelab,United Arab Emirates,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/656988d65a35f03f3dfa9162_rancelab-logo.webp,POS Systems,Live,False,https://www.urbanpiper.com/integrations
Rappi,,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65658ec830f4f04b81eb99e2_Rappi_logo%20(3)%20(1).webp,Fulfilment,Upcoming,False,https://www.urbanpiper.com/integrations
Rappi Cargo,Colombia,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65a76affc1d43864240d1003_Rappi%20Cargo%20logo%20(1).webp,Fulfilment,Live,False,https://www.urbanpiper.com/integrations
Rappi Cargo,Chile,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65a76affc1d43864240d1003_Rappi%20Cargo%20logo%20(1).webp,Fulfilment,Live,False,https://www.urbanpiper.com/integrations
Rappi Cargo,Mexico,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65a76affc1d43864240d1003_Rappi%20Cargo%20logo%20(1).webp,Fulfilment,Live,False,https://www.urbanpiper.com/integrations
Rawnest,India,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/662b3f9b2ebf769459aa7871_rawnest-logo.png,POS Systems,Live,False,https://www.urbanpiper.com/integrations
RestoSuite,United States,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/6672c01bfdaaeedca9661074_Resto%20suite%20logo.webp,POS Systems,Live,False,https://www.urbanpiper.com/integrations
Revel,United Kingdom,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65698d69865499ea1224eea0_revel%20systems-logo.webp,POS Systems,Live,False,https://www.urbanpiper.com/integrations
Revel,United Arab Emirates,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65698d69865499ea1224eea0_revel%20systems-logo.webp,POS Systems,Live,False,https://www.urbanpiper.com/integrations
Romio Technologies,India,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/68b7cec9972b2872c69e488d_Integration%20page%20icons%20(9).png,POS Systems,Live,False,https://www.urbanpiper.com/integrations
Royal POS,India,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65697b2f865499ea1218c8a6_royalpos-logo-6569797dba2b6.webp,POS Systems,Live,False,https://www.urbanpiper.com/integrations
SAAG Systems,,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/656989fd43fe259d23b7620f_saag%20systems.webp,POS Systems,Live,False,https://www.urbanpiper.com/integrations
Sahlhub,United Arab Emirates,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/656983e84f251f6c539c9969_SAHL%20Logo.webp,POS Systems,Live,False,https://www.urbanpiper.com/integrations
